nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0000119	Tia Carrere	1967	\N	actress,soundtrack,producer	tt0275847,tt0105793,tt0207919,tt0111503
nm0000120	Jim Carrey	1962	\N	actor,writer,producer	tt0120382,tt0338013,tt0315327,tt0109040
nm0000121	Phoebe Cates	1963	\N	actress,soundtrack	tt0083929,tt0101775,tt0086143,tt0087363
nm0000122	Charles Chaplin	1889	1977	writer,soundtrack,actor	tt0027977,tt0018773,tt0044837,tt0032553
nm0000123	George Clooney	1961	\N	actor,producer,director	tt0433383,tt0465538,tt1124035,tt1193138
nm0000124	Jennifer Connelly	1970	\N	actress	tt0180093,tt0315983,tt0286716,tt0268978
nm0000125	Sean Connery	1930	2020	actor,producer,soundtrack	tt0055928,tt0059800,tt0094226,tt0117500
nm0000126	Kevin Costner	1955	\N	actor,producer,soundtrack	tt0103855,tt0102798,tt0099348,tt0119925
nm0000127	Wes Craven	1939	2015	writer,producer,director	tt0117571,tt0105121,tt0087800,tt0111686
nm0000128	Russell Crowe	1964	\N	actor,soundtrack,director	tt0119488,tt0172495,tt0268978,tt1707386
nm0000129	Tom Cruise	1962	\N	actor,producer,soundtrack	tt0325710,tt0092099,tt0120755,tt0116695
nm0000130	Jamie Lee Curtis	1958	\N	actress,producer,director	tt1502407,tt0322330,tt0111503,tt0120694
nm0000131	John Cusack	1966	\N	actor,producer,writer	tt0146882,tt0098258,tt0119229,tt0450385
nm0000132	Claire Danes	1979	\N	actress,producer,soundtrack	tt1796960,tt0117509,tt0108872,tt0274558
nm0000133	Geena Davis	1956	\N	actress,producer,soundtrack	tt0103074,tt0116908,tt0104694,tt0091064
nm0000134	Robert De Niro	1943	\N	actor,producer,soundtrack	tt0081398,tt0101540,tt0075314,tt0077416
nm0000135	John Denver	1943	1997	soundtrack,music_department,actor	tt4649466,tt0299328,tt0120591,tt0076489
nm0000136	Johnny Depp	1963	\N	actor,producer,soundtrack	tt0383574,tt0449088,tt0408236,tt0325980
nm0000137	Bo Derek	1956	\N	actress,producer,miscellaneous	tt0083170,tt0086987,tt0099656,tt0114694
nm0000138	Leonardo DiCaprio	1974	\N	actor,producer,soundtrack	tt1375666,tt0120338,tt0407887,tt0993846
nm0000139	Cameron Diaz	1972	\N	actress,producer,soundtrack	tt0160127,tt0259711,tt1284575,tt0129387
nm0000140	Michael Douglas	1944	\N	actor,producer,soundtrack	tt0093010,tt0094291,tt0103772,tt1291580
nm0000141	David Duchovny	1960	\N	actor,producer,director	tt0904208,tt0120902,tt0106179,tt0443701
nm0000142	Clint Eastwood	1930	\N	actor,producer,director	tt0105695,tt0112579,tt0405159,tt1205489
nm0000143	Erika Eleniak	1969	\N	actress	tt0106400,tt0094761,tt0083866,tt0105690
nm0000144	Cary Elwes	1962	\N	actor,producer,director	tt0107977,tt0093779,tt0119468,tt0387564
nm0000145	Sherilyn Fenn	1965	\N	actress,soundtrack	tt0105046,tt0106471,tt0098936,tt0100935
nm0000146	Ralph Fiennes	1962	\N	actor,director,producer	tt2278388,tt0387131,tt0108052,tt1201607
nm0000147	Colin Firth	1960	\N	actor,producer,soundtrack	tt1504320,tt1315981,tt0243155,tt2802144
nm0000148	Harrison Ford	1942	\N	actor,writer,producer	tt0106977,tt0090329,tt0082971,tt0076759
nm0000149	Jodie Foster	1962	\N	actress,director,producer	tt0075314,tt0476964,tt0102926,tt0118884
nm0000150	Michael J. Fox	1961	\N	actor,producer,miscellaneous	tt0096874,tt0116365,tt0088763,tt0115369
nm0000151	Morgan Freeman	1937	\N	actor,producer,soundtrack	tt0114369,tt0405159,tt1057500,tt0097239
nm0000152	Richard Gere	1949	\N	actor,soundtrack,producer	tt0163187,tt0119395,tt0100405,tt0299658
nm0000153	Gina Gershon	1962	\N	actress,soundtrack,producer	tt0114436,tt1726669,tt0119094,tt0115736
nm0000154	Mel Gibson	1956	\N	actor,producer,director	tt0117438,tt0112573,tt0104714,tt0118883
nm0000155	Whoopi Goldberg	1955	\N	actress,producer,writer	tt0108147,tt0088939,tt0099653,tt0105417
nm0000156	Jeff Goldblum	1952	\N	actor,soundtrack,producer	tt0107290,tt2278388,tt0116629,tt0091064
nm0000157	Linda Hamilton	1956	\N	actress	tt6450804,tt0088247,tt0103064,tt0118928
nm0000158	Tom Hanks	1956	\N	producer,actor,soundtrack	tt0094737,tt0109830,tt0162222,tt0120815
nm0000159	Teri Hatcher	1964	\N	actress,soundtrack,writer	tt0227538,tt0106057,tt0410975,tt0120347
nm0000160	Ethan Hawke	1970	\N	actor,producer,writer	tt0381681,tt2209418,tt0139654,tt0112471
nm0000161	Salma Hayek	1966	\N	actress,producer,soundtrack	tt0120679,tt1615065,tt0112851,tt0120655
nm0000162	Anne Heche	1969	\N	actress,writer,producer	tt0120461,tt0120828,tt0120885,tt0119008
nm0000163	Dustin Hoffman	1937	\N	actor,producer,soundtrack	tt0064665,tt0095953,tt0061722,tt0084805
nm0000164	Anthony Hopkins	1937	\N	actor,soundtrack,composer	tt0412080,tt0975645,tt0102926,tt0212985
nm0000165	Ron Howard	1954	\N	actor,producer,writer	tt0367279,tt0268978,tt0112384,tt0088933
nm0000166	Helen Hunt	1963	\N	actress,producer,director	tt0162222,tt0103484,tt0117998,tt0119822
nm0000167	Elizabeth Hurley	1965	\N	actress,producer	tt0118655,tt0105104,tt0230030,tt0145660
nm0000168	Samuel L. Jackson	1948	\N	actor,producer,soundtrack	tt3460252,tt0417148,tt4154664,tt0110912
nm0000169	Tommy Lee Jones	1946	\N	actor,director,soundtrack	tt0477348,tt2398231,tt0106977,tt0443272
nm0000170	Milla Jovovich	1975	\N	actress,soundtrack,producer	tt1220634,tt1220198,tt0120804,tt0119116
nm0000171	Ashley Judd	1968	\N	actress,producer,director	tt0470705,tt0352277,tt0113277,tt0150377
nm0000172	Harvey Keitel	1939	\N	actor,producer,soundtrack	tt0105236,tt0103759,tt0110912,tt2278388
nm0000173	Nicole Kidman	1967	\N	actress,producer,soundtrack	tt0274558,tt0935075,tt0159365,tt0203009
nm0000174	Val Kilmer	1959	\N	actor,soundtrack,producer	tt0101761,tt0113277,tt0120053,tt0373469
nm0000175	Stephen King	1947	\N	writer,producer,actor	tt0111161,tt0324864,tt0091499,tt0083767
nm0000176	Nastassja Kinski	1961	\N	actress,producer,soundtrack	tt0080009,tt0087884,tt0083722,tt0111400
nm0000177	Kevin Kline	1947	\N	actor,soundtrack,music_department	tt0095159,tt0106673,tt0119360,tt0120891
nm0000178	Diane Lane	1965	\N	actress,soundtrack	tt0250797,tt0086066,tt2096673,tt0328589
nm0000179	Jude Law	1972	\N	actor,producer,soundtrack	tt0346156,tt0134119,tt2278388,tt0376541
nm0000180	David Lean	1908	1991	editor,director,writer	tt0087892,tt0059113,tt0050212,tt0056172
nm0000181	Heather Locklear	1961	\N	actress,producer,soundtrack	tt0103491,tt0380623,tt0098193,tt0119695
nm0000182	Jennifer Lopez	1969	\N	actress,producer,soundtrack	tt0252076,tt2126357,tt5503686,tt0120780
nm0000183	Traci Lords	1968	\N	actress,soundtrack,producer	tt1984153,tt0120611,tt0099329,tt1007028
nm0000184	George Lucas	1944	\N	writer,producer,director	tt0076759,tt0082971,tt0069704,tt0066434
nm0000185	Dolph Lundgren	1957	\N	actor,producer,director	tt0089927,tt0093507,tt0113481,tt0105698
nm0000186	David Lynch	1946	\N	writer,director,producer	tt0166924,tt0098936,tt0460829,tt0105665
nm0000187	Madonna	1958	\N	soundtrack,composer,actress	tt0104694,tt0246460,tt0156841,tt0116250
nm0000188	Steve Martin	1945	\N	writer,actor,producer	tt0383216,tt0093886,tt0102250,tt0079367
nm0000189	Jenny McCarthy-Wahlberg	1972	\N	actress,producer,writer	tt0134084,tt0455967,tt0327643,tt0131857
nm0000190	Matthew McConaughey	1969	\N	actor,producer,soundtrack	tt1915581,tt1935179,tt0790636,tt1726669
nm0000191	Ewan McGregor	1971	\N	actor,writer,producer	tt2763304,tt1322269,tt0203009,tt0117951
nm0000192	Alyssa Milano	1972	\N	actress,producer,soundtrack	tt0158552,tt0086827,tt0088944,tt0116287
nm0000193	Demi Moore	1962	\N	actress,producer,director	tt0117765,tt0099653,tt0305357,tt0119173
nm0000194	Julianne Moore	1960	\N	actress,producer,soundtrack	tt0118749,tt0842926,tt0297884,tt0175880
nm0000195	Bill Murray	1950	\N	actor,soundtrack,writer	tt0128445,tt0335266,tt1748122,tt0362270
nm0000196	Mike Myers	1963	\N	actor,writer,soundtrack	tt0145660,tt0295178,tt0811138,tt0118655
nm0000197	Jack Nicholson	1937	\N	actor,soundtrack,producer	tt0119822,tt0071315,tt0407887,tt0073486
nm0000198	Gary Oldman	1958	\N	actor,soundtrack,producer	tt4555426,tt0103874,tt0468569,tt1340800
nm0000199	Al Pacino	1940	\N	actor,producer,soundtrack	tt0068646,tt0099422,tt0070666,tt0072890
nm0000200	Bill Paxton	1955	2017	actor,producer,writer	tt0264616,tt0112384,tt0090605,tt0117998
nm0000201	Michelle Pfeiffer	1958	\N	actress,soundtrack,producer	tt0427327,tt0117247,tt0161081,tt0097322
nm0000202	Ryan Phillippe	1974	\N	actor,producer,director	tt0280707,tt0375679,tt0120577,tt0139134
nm0000203	River Phoenix	1970	1993	actor,soundtrack	tt0096018,tt0092005,tt0102494,tt0091557
nm0000204	Natalie Portman	1981	\N	actress,producer,soundtrack	tt0947798,tt0376541,tt0110413,tt0434409
nm0000205	Parker Posey	1968	\N	actress,soundtrack,writer	tt0106677,tt0134084,tt0348150,tt0359013
nm0000206	Keanu Reeves	1964	\N	actor,producer,soundtrack	tt0133093,tt0111257,tt0234215,tt0102685
nm0000207	Christina Ricci	1980	\N	actress,producer,soundtrack	tt0462200,tt0811080,tt0112642,tt0118789
nm0000208	Molly Ringwald	1968	\N	actress,soundtrack,music_department	tt0095169,tt0091790,tt0088847,tt0088128
nm0000209	Tim Robbins	1958	\N	actor,producer,director	tt0327056,tt0112818,tt0091225,tt0105151
nm0000210	Julia Roberts	1967	\N	actress,producer,soundtrack	tt0195685,tt0376541,tt0100405,tt0119738
nm0000211	Mimi Rogers	1955	\N	actress,producer,soundtrack	tt0118655,tt0120738,tt0210070,tt0488085
nm0000212	Meg Ryan	1961	\N	actress,producer,soundtrack	tt0120632,tt0098635,tt0128853,tt0108160
nm0000213	Winona Ryder	1971	\N	actress,producer,soundtrack	tt0100140,tt0110367,tt0172493,tt0097493
nm0000214	Mia Sara	1967	\N	actress,soundtrack	tt0111438,tt0312098,tt0091042,tt0089469
nm0000215	Susan Sarandon	1946	\N	actress,producer,soundtrack	tt0094812,tt0120686,tt0103074,tt0112818
nm0000216	Arnold Schwarzenegger	1947	\N	actor,producer,director	tt0216216,tt0107362,tt0088247,tt0103064
nm0000217	Martin Scorsese	1942	\N	producer,director,actor	tt0075314,tt0106226,tt0099685,tt0070379
nm0000218	Kristin Scott Thomas	1960	\N	actress,soundtrack,director	tt0109831,tt0116209,tt0280707,tt1602613
nm0000219	Steven Seagal	1952	\N	actor,producer,writer	tt0242445,tt0094602,tt0110725,tt0105690
nm0000220	Joan Severance	1958	\N	actress,producer	tt0099141,tt0112519,tt0115696,tt0098282
nm0000221	Charlie Sheen	1965	\N	actor,producer,soundtrack	tt0108333,tt0369179,tt0107144,tt0094291
nm0000222	Brooke Shields	1965	\N	actress,producer,soundtrack	tt0078111,tt0080116,tt0080453,tt0805570
nm0000223	Elisabeth Shue	1963	\N	actress,soundtrack,producer	tt0087538,tt0092513,tt0120053,tt0113627
nm0000224	Alicia Silverstone	1976	\N	actress,producer,soundtrack	tt0118688,tt0112697,tt0119086,tt0124298
nm0000225	Christian Slater	1969	\N	actor,producer,soundtrack	tt0102798,tt0124198,tt0115759,tt0108399
nm0000226	Will Smith	1968	\N	producer,actor,soundtrack	tt0119654,tt0480249,tt0098800,tt0116629
nm0000227	Mira Sorvino	1967	\N	actress,producer,soundtrack	tt0113819,tt0120008,tt0364343,tt0120032
nm0000228	Kevin Spacey	1959	\N	actor,producer,soundtrack	tt0114814,tt0114369,tt0119488,tt0169547
nm0000229	Steven Spielberg	1946	\N	producer,writer,director	tt0083866,tt0120815,tt0082971,tt0108052
nm0000230	Sylvester Stallone	1946	\N	actor,writer,producer	tt0089927,tt0075148,tt0084602,tt3076658
nm0000231	Oliver Stone	1946	\N	director,producer,writer	tt0096969,tt0102138,tt0110632,tt0091763
nm0000232	Sharon Stone	1958	\N	actress,producer,soundtrack	tt0114214,tt0112641,tt0108162,tt0103772
nm0000233	Quentin Tarantino	1963	\N	writer,actor,producer	tt7131622,tt0110912,tt0105236,tt0116367
nm0000234	Charlize Theron	1975	\N	producer,actress,soundtrack	tt0340855,tt1392190,tt5610554,tt1735898
nm0000235	Uma Thurman	1970	\N	actress,soundtrack,producer	tt0378194,tt0118688,tt0266697,tt0110912
nm0000236	Jennifer Tilly	1958	\N	actress,soundtrack,writer	tt0144120,tt0109348,tt0115736,tt0387575
nm0000237	John Travolta	1954	\N	actor,soundtrack,producer	tt0077631,tt0113161,tt0076666,tt0110912
nm0000238	Shannon Tweed	1957	\N	actress,producer,miscellaneous	tt0094834,tt0165710,tt0112942,tt0110675
nm0000239	Liv Tyler	1977	\N	actress,soundtrack,producer	tt0120737,tt0120591,tt0167260,tt0482606
nm0000240	Skeet Ulrich	1970	\N	actor,director,producer	tt0409572,tt0115963,tt0913354,tt0117571
nm0000241	Jean-Claude Van Damme	1960	\N	actor,writer,producer	tt0101764,tt0119013,tt1130988,tt0097659
nm0000242	Mark Wahlberg	1971	\N	producer,actor,soundtrack	tt0407887,tt0964517,tt1637725,tt0118749
nm0000243	Denzel Washington	1954	\N	actor,producer,soundtrack	tt0168786,tt2671706,tt0139654,tt1037705
nm0000244	Sigourney Weaver	1949	\N	actress,soundtrack,producer	tt0095243,tt0118583,tt0078748,tt0499549
nm0000245	Robin Williams	1951	2014	actor,soundtrack,writer	tt0093105,tt0107614,tt0265459,tt0119217
nm0000246	Bruce Willis	1955	\N	actor,producer,soundtrack	tt0167404,tt0110912,tt0088571,tt0095016
nm0000247	John Woo	1946	\N	director,producer,writer	tt0104684,tt0425637,tt0119094,tt0092263
nm0000248	Edward D. Wood Jr.	1924	1978	writer,director,actor	tt0067479,tt0047898,tt0047127,tt0052077
nm0000249	James Woods	1947	\N	actor,producer,soundtrack	tt0086541,tt0120877,tt0159097,tt0119282
nm0000250	Renée Zellweger	1969	\N	actress,soundtrack,producer	tt0243155,tt0116695,tt0299658,tt0159365
nm0000251	Timothy Dowling	1973	\N	actor,writer,script_department	tt0181852,tt2120120,tt0430922,tt1596350
nm0000252	Robert Ellis	1892	1974	actor,director,writer	tt0006213,tt0030778,tt0032595,tt0010781
nm0000253	Robert Ellis	1888	1935	art_director,miscellaneous	tt0010965,tt0014515,tt0014083,tt0026454
